chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Fe,aflow:159a3f7567c44cc0,Bi2Fe2,194,hP4,0.969241,-5.27685,,False
Bi-Fe,aflow:153b7d909966d1fe,Bi4Fe2,194,hP6,0.633986,-4.87579,,False
Bi-Fe,aflow:164bb67fbb47f36f,Bi1Fe1,225,cF8,0.668867,-5.57722,,False
Bi-Fe,aflow:17bc3ea9eb762fef,Bi2Fe1,164,hP3,0.366275,-5.14351,,False
Bi-Fe,aflow:18207f8acbc9aaee,Bi3Fe2,164,hP5,0.432618,-5.37169,,False
Bi-Fe,aflow:19ed96130ae5c807,Bi2Fe6,139,tI16,0.617002,-6.73355,,False
Bi-Fe,aflow:1a669e323c1552d8,Bi2Fe1,191,hP3,0.786678,-4.7231,,False
Bi-Fe,aflow:1b7decaaa2451312,Bi2Fe2,12,mS8,0.204821,-6.04127,,False
Bi-Fe,aflow:1d3628b89ab1db46,Bi1Fe3,166,hR4,0.644527,-6.70603,,False
Bi-Fe,aflow:1e96f904deb87028,Bi4Fe8,69,oF12,1.21626,-5.76614,,False
Bi-Fe,aflow:1e099c7adbd4b579,Bi3Fe4,191,hP7,1.02108,-5.54057,,False
Bi-Fe,aflow:2096f798ab20e5ac,Bi7Fe1,225,cF32,0.41065,-4.17874,,False
Bi-Fe,aflow:202187c9526b3896,Bi1Fe3,123,tP4,0.416878,-6.93368,,False
Bi-Fe,aflow:20b29ecdc4fa62f8,Bi1Fe3,139,tI8,0.412552,-6.938,,False
Bi-Fe,aflow:2287cc90cd9c3b47,Bi2Fe2,63,oS8,0.303256,-5.94283,,False
Bi-Fe,aflow:2465e07b16091929,Bi4Fe4,62,oP8,0.557414,-5.68868,,False
Bi-Fe,aflow:25db2cc3c499519a,Bi2Fe2,59,oP4,0.611444,-5.63465,,False
Bi-Fe,aflow:27b56b076520fd7f,Bi4Fe4,198,cP8,0.591705,-5.65438,,False
Bi-Fe,aflow:2a2e02e62d22b9d4,Bi1Fe8,139,tI18,0.35608,-7.60807,,False
Bi-Fe,aflow:2ba4f376f7f81c05,Bi2Fe2,129,tP4,0.191711,-6.05438,,False
Bi-Fe,aflow:2ccdc2f58aa427b4,Bi16Fe4,217,cI40,0.64937,-4.27136,,False
Bi-Fe,aflow:2d3e139496919457,Bi2Fe6,194,hP8,0.807429,-6.54313,,False
Bi-Fe,aflow:2edb4ee5cf024b4b,Bi2Fe4,8,mS12,0.656544,-6.32586,,False
Bi-Fe,aflow:2e55e5271ac87661,Bi1Fe4,139,tI10,0.472368,-7.09908,,False
Bi-Fe,aflow:2f530bf5379cb4ff,Bi6Fe2,59,oP8,0.782072,-4.35955,,False
Bi-Fe,aflow:3109d65c001633e3,Bi2Fe2,129,tP4,0.51057,-5.73552,,False
Bi-Fe,aflow:35fd3494dbbe95f7,Bi3Fe1,123,tP4,0.591194,-4.55043,,False
Bi-Fe,aflow:3704822043184272,Bi8Fe10,193,hP18,0.682196,-5.80933,,False
Bi-Fe,aflow:37ecc627ffe818f5,Bi4Fe2,63,oS12,0.304679,-5.2051,,False
Bi-Fe,aflow:37de4f03f5d6161c,Bi2Fe2,123,tP2,0.813276,-5.43281,,False
Bi-Fe,aflow:3706c872eeddb65a,Bi5Fe1,65,oS12,0.524555,-4.24891,,False
Bi-Fe,aflow:38f40cbafdb83663,Bi2Fe2,194,hP4,0.330099,-5.91599,,False
Bi-Fe,aflow:3932b0f1e2ecefc8,Bi2Fe4,58,oP6,0.678273,-6.30413,,False
Bi-Fe,aflow:39fbf820f4cf4217,Bi1Fe2,164,hP3,0.54388,-6.43852,,False
Bi-Fe,aflow:3a0ad88e7adbf619,Bi1Fe2,164,hP3,0.584632,-6.39777,,False
Bi-Fe,aflow:3a4dc11457f60fc7,Bi6Fe4,43,oF40,1.49231,-4.31199,,False
Bi-Fe,aflow:3d336c383d80a88a,Bi2Fe4,63,oS12,0.564576,-6.41782,,False
Bi-Fe,aflow:3dd78ca623f09798,Bi5Fe1,189,hP6,0.434123,-4.33935,,False
