cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co8_Bi4_m2_n1_z4_sg074_trial000_3d2164cea8.cif,Co8Bi4,74,12,8,4,2.790000,3.410283,2.790000,262.300008,21.858334,0.482822
Co8_Bi4_m2_n1_z4_sg064_trial000_72f6899c3e.cif,Co8Bi4,64,12,8,4,2.790000,4.238033,3.017232,353.784164,29.482014,0.35797
Co8_Bi4_m2_n1_z4_sg069_trial000_62c90ca204.cif,Co8Bi4,69,12,8,4,2.790000,4.150160,3.050604,361.475763,30.12298,0.350353
Co8_Bi4_m2_n1_z4_sg080_trial000_298ed78209.cif,Co8Bi4,80,12,8,4,3.042157,3.707291,2.790000,469.250133,39.104178,0.269886
Co8_Bi4_m2_n1_z4_sg086_trial000_6f697349cc.cif,Co8Bi4,86,12,8,4,2.790000,5.355521,2.871735,620.590942,51.715912,0.20407
Co8_Bi4_m2_n1_z4_sg094_trial000_1a943df1f3.cif,Co8Bi4,94,12,8,4,2.790000,5.595895,3.126425,548.945334,45.745445,0.230704
Co8_Bi4_m2_n1_z4_sg098_trial000_4a6e9eb431.cif,Co8Bi4,98,12,8,4,2.790000,4.191738,3.470968,389.55908,32.463257,0.325096
Co8_Bi4_m2_n1_z4_sg100_trial000_4fee79f72f.cif,Co8Bi4,100,12,8,4,3.038696,4.192801,2.790000,428.976715,35.74806,0.295224
Co8_Bi4_m2_n1_z4_sg089_trial000_6080cd0768.cif,Co8Bi4,89,12,8,4,2.790000,4.145158,3.262714,400.358506,33.363209,0.316327
Co8_Bi4_m2_n1_z4_sg130_trial000_4e8d00546a.cif,Co8Bi4,130,12,8,4,2.959734,3.979943,2.790000,362.187399,30.182283,0.349665
Co8_Bi4_m2_n1_z4_sg122_trial000_f583f9e612.cif,Co8Bi4,122,12,8,4,3.090393,4.136419,2.790000,322.891536,26.907628,0.392219
Co8_Bi4_m2_n1_z4_sg133_trial000_664886041f.cif,Co8Bi4,133,12,8,4,2.868775,2.868775,2.790000,357.293351,29.774446,0.354454
Co8_Bi4_m2_n1_z4_sg140_trial000_2745f410d0.cif,Co8Bi4,140,12,8,4,2.790000,2.790000,2.999791,314.833354,26.236113,0.402258
Co8_Bi4_m2_n1_z4_sg139_trial000_b5e38eda44.cif,Co8Bi4,139,12,8,4,3.586276,3.807615,2.790000,500.793888,41.732824,0.252887
Co8_Bi4_m2_n1_z4_sg141_trial000_014f627882.cif,Co8Bi4,141,12,8,4,3.002487,4.019639,2.790000,312.751462,26.062622,0.404935
Co8_Bi4_m2_n1_z4_sg163_trial000_7b02b2a766.cif,Co8Bi4,163,12,8,4,2.790000,4.832422,3.579011,615.49737,51.291447,0.205759
Co8_Bi4_m2_n1_z4_sg184_trial000_31b263c0f4.cif,Co8Bi4,184,12,8,4,2.790000,2.790000,2.957692,500.738936,41.728245,0.252914
Co8_Bi4_m2_n1_z4_sg185_trial000_b3e0b5b35e.cif,Co8Bi4,185,12,8,4,3.095823,3.472721,2.790000,401.319053,33.443254,0.31557
Co8_Bi4_m2_n1_z4_sg164_trial000_46deda7cc2.cif,Co8Bi4,164,12,8,4,3.847487,4.041441,2.790000,560.701888,46.725157,0.225867
Co8_Bi4_m2_n1_z4_sg192_trial000_4f2b5c79d4.cif,Co8Bi4,192,12,8,4,3.205156,3.700996,2.790000,297.221482,24.768457,0.426093
Co8_Bi4_m2_n1_z4_sg196_trial000_b0669d5beb.cif,Co8Bi4,196,12,8,4,2.790000,4.556051,2.790000,267.491941,22.290995,0.47345
